ID	Name	Probability 
PNBO_045	coping behavior	0.32382 
PNBO_046	coping with changes in environment	0.21614 
PNBO_076	sejf-injury	0.12991 
NBO_0000601	emotional behavior phenotype	0.12948 
PNBO_042	anxious behavior	0.12948 
PNBO_043	compusive behavior	0.07422 
PNBO_050	group play with peers	0.01433 
PNBO_011	loss of language from physical illness	0 
PNBO_035	abnormal response to sensory stimuli	0 
PNBO_036	computational ability phenotype	0 
PNBO_013	midline hand movements	0 
PNBO_069	reading ability phenotype	0 
PNBO_071	visiospatial ability	0 
NBO_0000656	somatic sensation related behavior phenotype	0 
